dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated
FlowFISH_K562	chr1	3774714	3775214	CEP104|chr1:3691278-3691778:*	-0.293431866	chr1	3857213.0	3857214.0	CEP104	True	0.004023984	0.825093632	True	K562	Ulirsch2016	True
FlowFISH_K562	chr1	3774714	3775214	LRRC47|chr1:3691278-3691778:*	-0.331178093	chr1	3796503.0	3796504.0	LRRC47	True	0.007771168	0.608994236	True	K562	Ulirsch2016	True
FlowFISH_K562	chr1	3774714	3775214	SMIM1|chr1:3691278-3691778:*	-0.472019217	chr1	3772761.0	3772762.0	SMIM1	True	0.000641649	0.639332272	True	K562	Ulirsch2016	True
FlowFISH_K562	chr10	125816658	125816735	UROS|chr10:127505227-127505304:*	-0.85	chr10	125823284.0	125823285.0	UROS	True		0.234322062	True	K562	Wakabayashi2016	True
FlowFISH_K562	chr11	3261795	3262295	HBE1|chr11:3283025-3283525:*	0.02924165	chr11	5505651.0	5505652.0	HBE1	False	0.944568866097	1.0	True	K562	Klann2017	False
FlowFISH_K562	chr11	3262515	3263015	HBE1|chr11:3283745-3284245:*	0.02429562	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	0.999999997901	True	K562	Klann2017	False
FlowFISH_K562	chr11	3307615	3308115	HBE1|chr11:3328845-3329345:*	0.01896726	chr11	5505651.0	5505652.0	HBE1	False	0.846461063242	1.0	True	K562	Klann2017	False
FlowFISH_K562	chr11	3324555	3325055	HBE1|chr11:3345785-3346285:*	0.03351329	chr11	5505651.0	5505652.0	HBE1	False	0.967834268322	1.0	True	K562	Klann2017	False
FlowFISH_K562	chr11	3339935	3340435	HBE1|chr11:3361165-3361665:*	0.03315553	chr11	5505651.0	5505652.0	HBE1	False	0.982456342633	0.999999879797	True	K562	Klann2017	False
FlowFISH_K562	chr11	3341195	3341715	HBE1|chr11:3362425-3362945:*	0.0496205	chr11	5505651.0	5505652.0	HBE1	False	0.989919227926	0.999897849564	True	K562	Klann2017	False
