dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	numTSSEnhGene	distanceToTSS	normalizedDNase_prom	sumNearbyEnhancers	ubiquitousExpressedGene	numCandidateEnhGene	3DContact	ABC.Score
FlowFISH_K562	chr1	3774714	3775214	CEP104|chr1:3691278-3691778:*	-0.293431866	chr1	3857213	3857214	CEP104	TRUE	0.004023984	0.825093632	TRUE	K562	Ulirsch2016	TRUE	3	81671.5	0.925191	1633.945175	1	11	67.569277	0.074041
FlowFISH_K562	chr1	3774714	3775214	LRRC47|chr1:3691278-3691778:*	-0.331178093	chr1	3796503	3796504	LRRC47	TRUE	0.007771168	0.608994236	TRUE	K562	Ulirsch2016	TRUE	1	20942.5	0.78467	1633.945175	1	3	135.987524	0.103963
FlowFISH_K562	chr1	3774714	3775214	SMIM1|chr1:3691278-3691778:*	-0.472019217	chr1	3772761	3772762	SMIM1	TRUE	0.000641649	0.639332272	TRUE	K562	Ulirsch2016	TRUE	1	2775.5	0.766162	1633.945175	0	2	348.903296	0.262355
FlowFISH_K562	chr10	125816658	125816735	UROS|chr10:127505227-127505304:*	-0.85	chr10	125823284	125823285	UROS	TRUE		0.234322062	TRUE	K562	Wakabayashi2016	TRUE	1	6586	0.617536	187.79712	1	2	338.401189	0.201618
FlowFISH_K562	chr11	3261795	3262295	HBE1|chr11:3283025-3283525:*	0.02924165	chr11	5505651	5505652	HBE1	FALSE	0.944568866097	1	TRUE	K562	Klann2017	FALSE	53	2008268	0.571543	1296.59794	0	173	0.000136	0
FlowFISH_K562	chr11	3262515	3263015	HBE1|chr11:3283745-3284245:*	0.02429562	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	0.999999997901	TRUE	K562	Klann2017	FALSE	53	2007424	0.571543	1178.606608	0	172	0.000136	0
FlowFISH_K562	chr11	3307615	3308115	HBE1|chr11:3328845-3329345:*	0.01896726	chr11	5505651	5505652	HBE1	FALSE	0.846461063242	1	TRUE	K562	Klann2017	FALSE	53	1962262.5	0.571543	1100.995375	0	163	0.000139	0
FlowFISH_K562	chr11	3324555	3325055	HBE1|chr11:3345785-3346285:*	0.03351329	chr11	5505651	5505652	HBE1	FALSE	0.967834268322	1	TRUE	K562	Klann2017	FALSE	53	1945188	0.571543	119.753625	0	159	0.00014	0
FlowFISH_K562	chr11	3339935	3340435	HBE1|chr11:3361165-3361665:*	0.03315553	chr11	5505651	5505652	HBE1	FALSE	0.982456342633	0.999999879797	TRUE	K562	Klann2017	FALSE	53	1929938	0.571543	557.692625	0	155	0.000141	0
FlowFISH_K562	chr11	3341195	3341715	HBE1|chr11:3362425-3362945:*	0.0496205	chr11	5505651	5505652	HBE1	FALSE	0.989919227926	0.999897849564	TRUE	K562	Klann2017	FALSE	53	1928657	0.571543	1108.665625	0	154	0.000141	0
