chrom	start	end	DNase.counts	DNase.counts.RPM	DNase.counts.RPKM	H3K4me3.counts	H3K4me3.counts.RPM	H3K4me3.counts.RPKM	CTCF.counts	CTCF.counts.RPM	CTCF.counts.RPKM	H3K27ac.counts	H3K27ac.counts.RPM	H3K27ac.counts.RPKM
chr1	3774714	3775214	92	0.5578346706216983	1.1156693412433967	7	0.043748337289755884	0.08749667457951177	1	0.0459883172198701	0.0919766344397402	1	0.033554451576815955	0.06710890315363191
chr1	3774714	3775214	92	0.5578346706216983	1.1156693412433967	7	0.043748337289755884	0.08749667457951177	1	0.0459883172198701	0.0919766344397402	1	0.033554451576815955	0.06710890315363191
chr1	3774714	3775214	92	0.5578346706216983	1.1156693412433967	7	0.043748337289755884	0.08749667457951177	1	0.0459883172198701	0.0919766344397402	1	0.033554451576815955	0.06710890315363191
chr10	125816658	125816735	14	0.08488788465982365	1.1024400605171902	2	0.012499524939930251	0.1623314927263669	0	0.0	0.0	1	0.033554451576815955	0.43577209840020725
chr11	3261795	3262295	17	0.1030781456583573	0.2061562913167146	9	0.056247862229686134	0.11249572445937227	1	0.0459883172198701	0.0919766344397402	3	0.10066335473044787	0.20132670946089573
chr11	3262515	3263015	29	0.17583918965249187	0.35167837930498375	5	0.03124881234982563	0.06249762469965126	0	0.0	0.0	4	0.13421780630726382	0.26843561261452764
chr11	3307615	3308115	20	0.12126840665689094	0.24253681331378188	2	0.012499524939930251	0.024999049879860503	0	0.0	0.0	0	0.0	0.0
chr11	3324555	3325055	17	0.1030781456583573	0.2061562913167146	4	0.024999049879860503	0.049998099759721006	14	0.6438364410781814	1.2876728821563628	0	0.0	0.0
chr11	3339935	3340435	68	0.4123125826334292	0.8246251652668584	1	0.006249762469965126	0.012499524939930251	5	0.2299415860993505	0.459883172198701	1	0.033554451576815955	0.06710890315363191
chr11	3341195	3341715	37	0.22434655231524822	0.43143567752932355	3	0.018749287409895378	0.03605632194210649	27	1.2416845649364927	2.3878549325701783	2	0.06710890315363191	0.1290555829877537
chr11	3345635	3346135	33	0.20009287098387005	0.4001857419677401	12	0.07499714963958151	0.14999429927916302	0	0.0	0.0	3	0.10066335473044787	0.20132670946089573
chr11	3404095	3405035	123	0.7458007009398793	0.7934050009998715	16	0.09999619951944201	0.10637893565898086	5	0.2299415860993505	0.2446187086163303	4	0.13421780630726382	0.1427849003268764
chr11	3408215	3409115	166	1.0065277752521948	1.118364194724661	56	0.3499866983180471	0.3888741092422745	305	14.02643675206038	15.584929724511534	10	0.3355445157681595	0.37282723974239945
chr11	3416895	3417395	97	0.5881517722859211	1.1763035445718422	13	0.08124691210954664	0.16249382421909328	123	5.6565630180440225	11.313126036088045	2	0.06710890315363191	0.13421780630726382
chr11	3422455	3422955	1958	11.872177011709622	23.744354023419245	1615	10.093366388993678	20.186732777987356	6	0.27592990331922057	0.5518598066384411	40	1.342178063072638	2.684356126145276
chr11	3505975	3506475	28	0.1697757693196473	0.3395515386392946	13	0.08124691210954664	0.16249382421909328	4	0.1839532688794804	0.3679065377589608	4	0.13421780630726382	0.26843561261452764
